checklist_item,category,required,frequency,responsible_party,notes
Verify current I-9 form version is in use,Form Compliance,Yes,Every new hire,"HR / Hiring Manager","Check USCIS website for current version. Using an expired form is a violation."
Section 1 completed by employee on or before first day of work,Form Compliance,Yes,Every new hire,Employee,"Employee must complete Section 1 no later than the end of Day 1. Do not complete before offer is accepted."
Section 2 completed by employer within 3 business days of hire,Form Compliance,Yes,Every new hire,"HR / Hiring Manager","Examine original documents in person. Photocopies not acceptable as originals."
Acceptable documents reviewed from List A or Lists B+C,Document Verification,Yes,Every new hire,"HR / Hiring Manager","Cannot specify which documents an employee must present. Accept any valid combination from the I-9 lists."
Documents appear reasonably genuine and relate to the employee,Document Verification,Yes,Every new hire,"HR / Hiring Manager","Employer is not required to be a document expert. Standard is 'reasonable person' review."
No over-documentation (requesting more documents than required),Document Verification,Yes,Every new hire,"HR / Hiring Manager","Requesting additional or specific documents beyond what the employee chooses is an unfair immigration practice."
Reverification completed for expiring work authorization,Reverification,Yes,Before authorization expiry,HR,"Set calendar reminders 90 days before expiration. Use Section 3 or new I-9. Do not reverify US citizens or permanent residents."
Receipts accepted only for 90-day period,Document Verification,Conditional,When receipt presented,HR,"A receipt for a lost/stolen document is valid for 90 days. Employee must present the actual document before the 90-day period ends."
I-9 forms stored separately from personnel files,Storage,Yes,Ongoing,HR,"I-9s must be kept in a separate file or binder. Makes audit response easier and protects employee privacy."
Retention schedule followed — 3 years from hire or 1 year from termination (whichever later),Storage,Yes,Ongoing,HR,"Destroy I-9s on schedule. Keeping them too long increases audit exposure. Calculate both dates and use the later one."
E-Verify case created within 3 business days of hire (if enrolled),E-Verify,Conditional,Every new hire (if participating),HR,"Only applies to E-Verify participating employers. Federal contractors may be required to enroll. NC requires E-Verify for employers with 25+ employees."
Self-audit conducted annually,Audit,Recommended,Annual,HR,"Review all current I-9s for completeness. Correct errors using established correction procedures (single line through error, initial, date)."
Corrections made properly (single line strikethrough with initials and date),Audit,Yes,When errors found,HR,"Do not use white-out or completely obscure the original entry. The original must remain visible."
Missing I-9s identified and new forms completed if employee still active,Audit,Yes,When gaps found,HR,"If an I-9 cannot be located for a current employee, have them complete a new one immediately. Note 'replacing missing I-9' in the additional information field."
Designated authorized representative trained on I-9 procedures,Training,Recommended,Annual,"HR / Compliance","Anyone completing Section 2 on behalf of the employer must understand acceptable documents and anti-discrimination rules."
